tier,gen_arm,test,sigma_het,sigma_donor,n_donors,n_perm,lambda_pb,fp_rate,fp_binom_p,mean_rejections,power,power_sd,n_power_reps,prior_df_d0,shrinkage,seconds
A,directnb,voom,0.4,0.5,8,3000,1.0148802454940187,0.032,0.9999994267190824,0.035666666666666666,0.172,,,7.925525549348874,0.3614748267497852,848.0928635000018
A,directnb,voom,0.8,0.5,8,3000,1.0067392442621617,0.044,0.9416464760437223,0.048666666666666664,0.418,,,2.9324603060674854,0.17318571861743468,852.6197829999728
A,directnb,voom,1.2,0.5,8,3000,0.998541585380315,0.04066666666666666,0.9929060018600022,0.044,0.5921466225289248,,,2.2263942729374944,0.1372081952088821,843.7701632999815
A,directnb,wilcoxon,0.0,0.5,8,3000,0.9752127003140404,0.0,1.0,0.0,0.0326,,,,,74.54968160000863
A,directnb,wilcoxon,0.4,0.5,8,3000,0.9752127003140404,0.0,1.0,0.0,0.10740000000000002,,,,,74.44927330000792
A,directnb,wilcoxon,0.8,0.5,8,3000,1.0243027890874012,0.0,1.0,0.0,0.0686,,,,,75.67873829999007
A,directnb,wilcoxon,1.2,0.5,8,3000,1.0243027890874012,0.0,1.0,0.0,0.43109567595271675,,,,,75.14290449995315
B,directnb,ebayes,0.0,0.35,8,1500,1.0099168681547102,0.042666666666666665,0.9161106057672743,0.04466666666666667,0.7932000000000001,,,116.96685206418348,0.8931027219533462,35.4204101000214
B,directnb,ebayes,0.0,0.5,12,1500,1.0096662994737589,0.034,0.9988879515885549,0.038,0.4862,,,91.08058443767372,0.8054484763286162,19.47008610004559
B,directnb,ebayes,0.0,0.5,4,1500,1.0156353045135669,0.029333333333333333,0.9999706247842074,0.03333333333333333,0.0094,,,33.36427828716317,0.847577543369908,16.727566500019748
B,directnb,ebayes,0.0,0.7,8,1500,1.020352661293491,0.014666666666666666,0.9999999999999378,0.016,0.0026,,,29.148189357172626,0.6755367905681829,35.54821380000794
B,directnb,ebayes,0.4,0.35,8,1500,1.006278674208883,0.042,0.9337697946706232,0.044,0.7684000000000002,,,10.752765212113292,0.4344066256828226,35.75227130000712
B,directnb,ebayes,0.4,0.5,12,1500,1.0099426178936584,0.036,0.9960950524559197,0.03866666666666667,0.49699999999999994,,,8.613563544139504,0.28136428912368283,19.599699900019914
B,directnb,ebayes,0.4,0.5,4,1500,1.0195672386864056,0.034666666666666665,0.9982775449019042,0.03666666666666667,0.0,,,7.499918669547247,0.555552877993655,16.74554780003382
B,directnb,ebayes,0.4,0.7,8,1500,1.0160600706823102,0.035333333333333335,0.9973823229495187,0.03933333333333333,0.001,,,5.682858404064101,0.28872119523507367,41.03986070002429
B,directnb,ebayes,0.8,0.35,8,1500,1.0020073293995164,0.04933333333333333,0.5637184318589099,0.05333333333333334,0.7678,,,3.618611115962708,0.20538571923437232,18.221191000018734
B,directnb,ebayes,0.8,0.5,12,1500,1.0023755333801294,0.04466666666666667,0.8432094753824476,0.04933333333333333,0.6240000000000001,,,2.956958884066724,0.11848233984768618,20.15739730000496
B,directnb,ebayes,0.8,0.5,4,1500,1.010161580184691,0.06933333333333333,0.0006465547332939856,0.07266666666666667,0.0006,,,2.904532289211719,0.32618583378384775,17.027718900004402
B,directnb,ebayes,0.8,0.7,8,1500,1.0066050730831595,0.04466666666666667,0.8432094753824476,0.05266666666666667,0.07134427328149746,,,2.4104445776437484,0.14688478220313067,18.879147699975874
B,directnb,ebayes,1.2,0.35,8,1500,0.9971844854544436,0.05533333333333333,0.18605295725169665,0.06333333333333334,0.7975567839195981,,,2.2059642482650776,0.13612051800627886,18.55392109998502
B,directnb,ebayes,1.2,0.5,12,1500,0.995514738766988,0.05,0.5165415585886359,0.05466666666666667,0.7217447890866411,,,1.8739144971447719,0.07849213405572367,20.223083699995186
B,directnb,ebayes,1.2,0.5,4,1500,0.9966292965332537,0.09266666666666666,5.936894030262967e-12,0.10533333333333333,0.15438739923274272,,,1.881440780970445,0.23871787319815177,17.19849419995444
B,directnb,ebayes,1.2,0.7,8,1500,0.9913292746956184,0.05466666666666667,0.21845988841157962,0.064,0.34344321544795264,,,1.7525782703465314,0.1112565981434084,18.781734700023662
B,directnb,ebayes_trend,0.0,0.35,8,1500,1.0085864433994374,0.043333333333333335,0.8952419754596165,0.04533333333333334,0.7928000000000001,,,123.17268301319689,0.8979388629538353,36.33298690000083
B,directnb,ebayes_trend,0.0,0.5,12,1500,1.0089780675609012,0.035333333333333335,0.9973823229495187,0.03933333333333333,0.4874,,,91.80850209417522,0.806692825270688,20.134150099998806
B,directnb,ebayes_trend,0.0,0.5,4,1500,1.016289725421085,0.03133333333333333,0.9998416729380549,0.034,0.009800000000000001,,,33.17228617310293,0.8468304869037792,17.525672999967355
B,directnb,ebayes_trend,0.0,0.7,8,1500,1.0205042331377077,0.015333333333333332,0.9999999999997761,0.016666666666666666,0.0036,,,29.438393579037008,0.6777044718625074,36.74597510002786
B,directnb,ebayes_trend,0.4,0.35,8,1500,1.0064657241860604,0.042666666666666665,0.9161106057672743,0.04533333333333334,0.7687999999999999,,,10.759222770164007,0.4345541404930271,36.598726299998816
B,directnb,ebayes_trend,0.4,0.5,12,1500,1.0110047904895267,0.038,0.9883557521990972,0.04066666666666666,0.49879999999999997,,,8.625524910392798,0.28164496561708624,20.053541000001132
B,directnb,ebayes_trend,0.4,0.5,4,1500,1.019143676275139,0.035333333333333335,0.9973823229495187,0.038,0.0,,,7.526946105369765,0.55644090297527,17.415857599989977
B,directnb,ebayes_trend,0.4,0.7,8,1500,1.016368703897704,0.03266666666666666,0.9995629454213714,0.03666666666666667,0.0006,,,5.780913306617568,0.2922470371822318,42.89743760001147
B,directnb,ebayes_trend,0.8,0.35,8,1500,1.0021188406325052,0.04933333333333333,0.5637184318589099,0.054,0.767,,,3.622016922124131,0.20553929428910903,18.830930800002534
B,directnb,ebayes_trend,0.8,0.5,12,1500,1.0022443602891222,0.04466666666666667,0.8432094753824476,0.04933333333333333,0.6238,,,2.9871576312861325,0.11954771628550288,20.80301390000386
B,directnb,ebayes_trend,0.8,0.5,4,1500,1.0095155014952941,0.062,0.02165998734379764,0.066,0.0002,,,2.9296291303814317,0.32807959743970816,17.569134599994868
B,directnb,ebayes_trend,0.8,0.7,8,1500,1.004966109438774,0.042666666666666665,0.9161106057672743,0.051333333333333335,0.07298580555961369,,,2.5892741064160836,0.15608121788853035,19.46705320000183
B,directnb,ebayes_trend,1.2,0.35,8,1500,0.9971857605990087,0.05333333333333334,0.2926044984288806,0.06066666666666667,0.7979567839195981,,,2.219716228495883,0.1368529632223859,18.970184599980712
B,directnb,ebayes_trend,1.2,0.5,12,1500,0.9936686454159958,0.05,0.5165415585886359,0.05533333333333333,0.7215447890866412,,,1.9356993784517158,0.08087080923962234,20.637593300023582
B,directnb,ebayes_trend,1.2,0.5,4,1500,0.9934845505347308,0.086,3.3878970753017453e-09,0.098,0.15652236390896695,,,1.9442933126915947,0.24474087702495106,17.970593900012318
B,directnb,ebayes_trend,1.2,0.7,8,1500,0.990322752052485,0.054,0.25404128287746863,0.06333333333333334,0.33733399614374243,,,1.9551845317651415,0.12254227006103056,19.10814849997405
B,directnb,pooled_t,0.0,0.35,8,1500,1.0100002092887301,0.05266666666666667,0.33385438417001106,0.056,0.5980000000000001,,,0.0,0.0,35.992484499991406
B,directnb,pooled_t,0.0,0.5,12,1500,1.0085696191497773,0.042,0.9337697946706232,0.04533333333333334,0.35600000000000004,,,0.0,0.0,19.72292930004187
B,directnb,pooled_t,0.0,0.5,4,1500,1.0196009834362263,0.042666666666666665,0.9161106057672743,0.04666666666666667,0.001,,,0.0,0.0,16.972809500002768
B,directnb,pooled_t,0.0,0.7,8,1500,1.0224883389729746,0.046,0.7772373412922905,0.050666666666666665,0.0028000000000000004,,,0.0,0.0,35.73622449999675
B,directnb,pooled_t,0.4,0.35,8,1500,1.0068698728350598,0.044,0.8709769122031014,0.048666666666666664,0.6542,,,0.0,0.0,35.54072150000138
B,directnb,pooled_t,0.4,0.5,12,1500,1.010087090440546,0.044,0.8709769122031014,0.04666666666666667,0.46059999999999995,,,0.0,0.0,19.635398600017652
B,directnb,pooled_t,0.4,0.5,4,1500,1.017603446323272,0.051333333333333335,0.42274278283799194,0.05533333333333333,0.0024,,,0.0,0.0,16.874173799995333
B,directnb,pooled_t,0.4,0.7,8,1500,1.0177354856052125,0.038,0.9883557521990972,0.043333333333333335,0.006999999999999999,,,0.0,0.0,37.93943680002121
B,directnb,pooled_t,0.8,0.35,8,1500,1.0066728381972327,0.056,0.1569134338625318,0.064,0.7073999999999999,,,0.0,0.0,18.404894099978264
B,directnb,pooled_t,0.8,0.5,12,1500,1.0041125029080824,0.04466666666666667,0.8432094753824476,0.04933333333333333,0.6022,,,0.0,0.0,19.900303799950052
B,directnb,pooled_t,0.8,0.5,4,1500,1.015355531233964,0.04933333333333333,0.5637184318589099,0.05533333333333333,0.0178,,,0.0,0.0,17.19537579995813
B,directnb,pooled_t,0.8,0.7,8,1500,1.0141381568956511,0.046,0.7772373412922905,0.050666666666666665,0.11838457997828965,,,0.0,0.0,18.769461999996565
B,directnb,pooled_t,1.2,0.35,8,1500,1.0061612838534009,0.048666666666666664,0.6102010414020103,0.05466666666666667,0.7697527638190956,,,0.0,0.0,18.56818630005
B,directnb,pooled_t,1.2,0.5,12,1500,1.005064943956077,0.04933333333333333,0.5637184318589099,0.05333333333333334,0.7070913083247613,,,0.0,0.0,20.0690454999567
B,directnb,pooled_t,1.2,0.5,4,1500,1.008791740807736,0.066,0.003694677974060964,0.07866666666666666,0.16362349876851826,,,0.0,0.0,17.172691399988253
B,directnb,pooled_t,1.2,0.7,8,1500,1.0065830669751101,0.054,0.25404128287746863,0.059333333333333335,0.3360423705741691,,,0.0,0.0,19.12452780001331
B,directnb,ttest,0.0,0.35,8,1500,1.0028207291088007,0.035333333333333335,0.9973823229495187,0.036,0.5644,,,,,36.09074369998416
B,directnb,ttest,0.0,0.5,12,1500,1.0058125645001221,0.034,0.9988879515885549,0.036,0.3406,,,,,19.90350519999629
B,directnb,ttest,0.0,0.5,4,1500,0.9874805536427869,0.018666666666666668,0.9999999999282689,0.018666666666666668,0.0002,,,,,17.212592000025325
B,directnb,ttest,0.0,0.7,8,1500,1.0146725852184275,0.029333333333333333,0.9999706247842074,0.030666666666666665,0.0012,,,,,36.49124750000192
B,directnb,ttest,0.4,0.35,8,1500,1.000264232393594,0.03133333333333333,0.9998416729380549,0.03266666666666666,0.6255999999999999,,,,,36.600634500035085
B,directnb,ttest,0.4,0.5,12,1500,1.007368466758241,0.034666666666666665,0.9982775449019042,0.03666666666666667,0.4408000000000001,,,,,20.0057506999583
B,directnb,ttest,0.4,0.5,4,1500,0.9850861621273375,0.02,0.9999999994480397,0.020666666666666667,0.001,,,,,17.13833019998856
B,directnb,ttest,0.4,0.7,8,1500,1.0096839429827993,0.019333333333333334,0.99999999979747,0.021333333333333333,0.0046,,,,,37.48942959995475
B,directnb,ttest,0.8,0.35,8,1500,0.9992267210221579,0.03266666666666666,0.9995629454213714,0.037333333333333336,0.694,,,,,18.598687899997458
B,directnb,ttest,0.8,0.5,12,1500,1.0015400364828997,0.03,0.9999473393805908,0.03266666666666666,0.5896,,,,,20.133086800051387
B,directnb,ttest,0.8,0.5,4,1500,0.9826130855608721,0.021333333333333333,0.9999999962956536,0.022,0.0048,,,,,17.791828499990515
